,postcode,suburb,city,state,statecode,1_br_flat,2_br_flat,3_br_flat,4_br_flat,1_br_house,2_br_house,3_br_house,4_br_house
0,5000,Adelaide,Adelaide,South Australia,SA,305.0,450.0,550.0,400.0,162.5,425.0,450.0,452.5
1,5001,Adelaide,Adelaide,South Australia,SA,305.0,450.0,550.0,400.0,162.5,425.0,450.0,452.5
2,5159,Aberfoyle Park,Adelaide,South Australia,SA,211.0,320.0,370.0,400.0,185.0,380.0,345.0,425.0
3,5000,City West Campus,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
4,5000,Halifax Street,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
5,5014,Albert Park,Adelaide,South Australia,SA,205.5,259.2,338.75,400.0,185.0,275.0,350.0,390.0
6,5000,Hutt Street,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
7,5014,Alberton,Adelaide,South Australia,SA,210.0,277.5,338.75,400.0,185.0,292.5,347.5,450.0
8,5000,Parliament House,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
9,5173,Aldinga,Adelaide,South Australia,SA,211.0,235.0,338.75,400.0,280.0,250.0,325.0,355.0
10,5000,Rundle Mall,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
11,5173,Aldinga Beach,Adelaide,South Australia,SA,211.0,240.0,320.0,400.0,185.0,270.0,325.0,380.0
12,5000,Station Arcade,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
13,5009,Allenby Gardens,Adelaide,South Australia,SA,211.0,290.0,320.0,400.0,185.0,370.0,380.0,482.5
14,5000,Sturt Street,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
15,5114,Andrews Farm,Adelaide,South Australia,SA,211.0,194.0,290.0,400.0,212.5,202.0,290.0,335.0
16,5010,Angle Park,Adelaide,South Australia,SA,230.0,240.0,338.75,400.0,185.0,97.87,215.0,404.0
17,5005,Adelaide University,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
18,5117,Angle Vale,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,350.0,404.0
19,5005,The University Of Adelaide,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
20,5043,Ascot Park,Adelaide,South Australia,SA,220.0,281.25,320.0,395.0,176.0,292.5,365.0,475.0
21,5005,University Of Adelaide,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
22,5035,Ashford,Adelaide,South Australia,SA,211.0,297.5,380.0,400.0,185.0,425.0,460.0,412.5
23,5006,North Adelaide,Adelaide,South Australia,SA,310.0,360.0,480.0,400.0,372.5,395.0,570.0,782.5
24,5076,Athelstone,Adelaide,South Australia,SA,211.0,320.0,345.0,400.0,185.0,320.0,397.5,550.0
25,5006,North Adelaide Melbourne St,Adelaide,South Australia,SA,211.0,340.0,338.75,400.0,185.0,292.5,332.5,404.0
26,5012,Athol Park,Adelaide,South Australia,SA,211.0,300.0,345.0,400.0,185.0,155.45,382.5,404.0
27,5007,Bowden,Adelaide,South Australia,SA,253.0,395.0,352.1,400.0,260.0,252.8,416.0,404.0
28,5072,Auldana,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,420.0,404.0
29,5007,Brompton,Adelaide,South Australia,SA,211.0,360.0,395.0,400.0,335.0,360.0,422.5,532.5
30,5091,Banksia Park,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,370.0,410.0
31,5007,Hindmarsh,Adelaide,South Australia,SA,190.0,275.0,338.75,400.0,185.0,307.5,332.5,404.0
32,5066,Beaumont,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
33,5007,Welland,Adelaide,South Australia,SA,211.0,375.0,338.75,400.0,185.0,320.0,450.0,360.0
34,5042,Bedford Park,Adelaide,South Australia,SA,211.0,297.5,320.0,400.0,150.0,292.5,350.0,360.0
35,5007,West Hindmarsh,Adelaide,South Australia,SA,220.0,300.0,370.0,400.0,185.0,325.0,415.0,470.0
36,5052,Belair,Adelaide,South Australia,SA,225.0,275.0,338.75,400.0,185.0,292.5,387.5,555.0
37,5008,Croydon,Adelaide,South Australia,SA,211.0,250.0,338.75,400.0,147.5,160.0,330.0,150.0
38,5050,Bellevue Heights,Adelaide,South Australia,SA,222.5,275.0,360.0,400.0,185.0,305.0,355.0,400.0
39,5008,Croydon Park,Adelaide,South Australia,SA,211.0,267.5,338.75,400.0,185.0,320.0,355.0,404.0
40,5067,Beulah Park,Adelaide,South Australia,SA,211.0,270.0,555.0,400.0,185.0,345.0,415.0,720.0
41,5008,Croydon Park South,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
42,5009,Beverley,Adelaide,South Australia,SA,211.0,195.0,338.75,400.0,185.0,37.75,350.0,425.0
43,5008,Devon Park,Adelaide,South Australia,SA,211.0,257.5,338.75,400.0,185.0,300.0,370.0,404.0
44,5015,Birkenhead,Adelaide,South Australia,SA,211.0,315.0,338.75,400.0,185.0,395.0,370.0,480.0
45,5008,Dudley Park,Adelaide,South Australia,SA,211.0,260.0,338.75,400.0,185.0,292.5,320.0,404.0
46,5035,Black Forest,Adelaide,South Australia,SA,240.0,282.5,350.0,400.0,235.0,380.0,400.0,530.0
47,5008,Renown Park,Adelaide,South Australia,SA,211.0,305.0,367.5,400.0,185.0,132.0,332.5,480.0
48,5051,Blackwood,Adelaide,South Australia,SA,245.0,290.0,375.0,400.0,205.0,395.0,410.0,525.0
49,5008,Ridleyton,Adelaide,South Australia,SA,100.0,400.0,425.0,500.0,185.0,405.0,415.0,250.0
50,5084,Blair Athol,Adelaide,South Australia,SA,175.25,280.0,129.84,400.0,185.0,330.0,345.0,403.0
51,5008,West Croydon,Adelaide,South Australia,SA,211.0,245.0,409.5,400.0,185.0,300.0,360.0,157.5
52,5114,Blakeview,Adelaide,South Australia,SA,240.0,270.5,310.0,400.0,185.0,280.0,310.0,372.5
53,5171,Blewitt Springs,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,300.0
54,5009,Kilkenny,Adelaide,South Australia,SA,211.0,295.0,338.75,400.0,150.0,292.5,310.0,404.0
55,5109,Brahma Lodge,Adelaide,South Australia,SA,134.75,240.0,285.0,400.0,185.0,287.5,290.0,404.0
56,5048,Brighton,Adelaide,South Australia,SA,350.0,315.0,417.5,400.0,185.0,292.5,435.0,527.5
57,5010,Ferryden Park,Adelaide,South Australia,SA,247.5,275.0,338.75,400.0,185.0,280.0,350.0,400.0
58,5083,Broadview,Adelaide,South Australia,SA,220.0,285.0,295.0,400.0,185.0,340.0,340.0,420.0
59,5010,Regency Park,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,332.5,404.0
60,5011,Woodville,Adelaide,South Australia,SA,210.0,280.0,370.0,400.0,185.0,290.0,340.0,460.0
61,5032,Brooklyn Park,Adelaide,South Australia,SA,217.5,260.0,338.75,400.0,185.0,320.0,395.0,650.0
62,5011,Woodville Park,Adelaide,South Australia,SA,211.0,305.0,260.0,400.0,185.0,292.5,350.0,404.0
63,5066,Burnside,Adelaide,South Australia,SA,211.0,347.5,417.5,400.0,185.0,350.0,570.0,615.0
64,5011,Woodville South,Adelaide,South Australia,SA,211.0,290.0,450.0,400.0,185.0,290.0,400.0,550.0
65,5110,Burton,Adelaide,South Australia,SA,211.0,275.0,322.5,400.0,185.0,292.5,310.0,345.0
66,5011,Woodville West,Adelaide,South Australia,SA,242.5,290.0,390.0,400.0,185.0,355.0,402.5,404.0
67,5038,Camden Park,Adelaide,South Australia,SA,160.0,277.5,338.75,335.0,185.0,315.0,380.0,447.5
68,5074,Campbelltown,Adelaide,South Australia,SA,240.0,277.5,330.0,400.0,185.0,232.7,380.0,450.0
69,5012,Mansfield Park,Adelaide,South Australia,SA,211.0,238.0,300.0,400.0,185.0,157.75,350.0,265.0
70,5012,Woodville Gardens,Adelaide,South Australia,SA,176.0,230.0,338.75,400.0,185.0,72.0,312.0,404.0
71,5014,Cheltenham,Adelaide,South Australia,SA,211.0,101.0,338.75,400.0,185.0,229.3,365.0,404.0
72,5012,Woodville North,Adelaide,South Australia,SA,211.0,270.0,338.75,400.0,185.0,300.0,340.0,404.0
73,5164,Christie Downs,Adelaide,South Australia,SA,232.5,255.0,242.0,400.0,95.0,243.4,300.0,365.0
74,5013,Gillman,Adelaide,South Australia,SA,211.0,275.0,338.75,400.0,185.0,292.5,340.0,404.0
