,postcode,suburb,state,city,statecode,1_br_flat,2_br_flat,3_br_flat,4_br_flat,1_br_house,2_br_house,3_br_house,4_br_house
0,4000,Brisbane,Brisbane,Queensland,QLD,350.0,400.0,500.0,716.6666667,250.0,380.0,420.0,530.0
1,4000,Brisbane Adelaide Street,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
2,4000,Spring Hill,Brisbane,Queensland,QLD,400.0,520.0,758.0,912.6666667,250.0,410.0,520.0,510.0
3,4001,Central Plaza,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
4,4001,Riverside Centre,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
5,4001,Waterfront Place,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
6,4003,George Street,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
7,4005,New Farm,Brisbane,Queensland,QLD,360.0,475.0,695.0,829.1666667,250.0,490.0,750.0,925.0
8,4006,Bowen Hills,Brisbane,Queensland,QLD,365.0,470.0,580.0,793.3333333,250.0,325.0,515.0,765.0
9,4006,Fortitude Valley,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
10,4006,Herston,Brisbane,Queensland,QLD,365.0,470.0,580.0,793.3333333,250.0,325.0,515.0,765.0
11,4006,Newstead,Brisbane,Queensland,QLD,365.0,470.0,580.0,793.3333333,250.0,325.0,515.0,765.0
12,4007,Ascot,Brisbane,Queensland,QLD,380.0,450.0,553.0,789.3333333,250.0,365.0,530.0,880.0
13,4007,Hamilton,Brisbane,Queensland,QLD,380.0,450.0,553.0,789.3333333,250.0,365.0,530.0,880.0
14,4007,Hamilton Central,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
15,4008,Pinkenba,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
16,4009,Eagle Farm,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
17,4010,Albion,Brisbane,Queensland,QLD,360.0,450.0,600.0,785.0,250.0,325.0,460.0,460.0
18,4011,Clayfield,Brisbane,Queensland,QLD,275.0,330.0,430.0,583.3333333,250.0,310.0,495.0,800.0
19,4011,Hendra,Brisbane,Queensland,QLD,275.0,330.0,430.0,583.3333333,250.0,310.0,495.0,800.0
20,4012,Nundah,Rrgsrane,Queensland,QLD,286.0,370.0,430.0,614.3333333,250.0,360.0,425.0,558.0
21,4012,Toombul,Rrgsrane,Queensland,QLD,286.0,370.0,430.0,614.3333333,250.0,360.0,425.0,558.0
22,4012,Wavell Heights,Rrgsrane,Queensland,QLD,286.0,370.0,430.0,614.3333333,250.0,360.0,425.0,558.0
23,4012,Wavell Heights North,Rrgsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
24,4013,Northgate,Rrgsrane,Queensland,QLD,268.0,300.0,390.0,628.1666667,250.0,380.0,375.0,568.0
25,4014,Banyo,Rrgsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,385.0,400.0,550.0
26,4014,Nudgee,Rrgsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,385.0,400.0,550.0
27,4014,Nudgee Beach,Rrgsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
28,4014,Virginia,Rrgsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,385.0,400.0,550.0
29,4017,Bracken Ridge,Nrdsnane,Queensland,QLD,225.0,288.0,365.0,490.6666667,250.0,360.0,413.0,460.0
30,4017,Brighton,Nrdsnane,Queensland,QLD,225.0,288.0,365.0,490.6666667,250.0,360.0,413.0,460.0
31,4017,Brighton Eventide,Nrdsnane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
32,4017,Brighton Nathan Street,Nrdsnane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
33,4017,Deagon,Nrdsnane,Queensland,QLD,225.0,288.0,365.0,490.6666667,250.0,360.0,413.0,460.0
34,4017,Sandgate,Nrdsnane,Queensland,QLD,225.0,288.0,365.0,490.6666667,250.0,360.0,413.0,460.0
35,4017,Shorncliffe,Nrdsnane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
36,4018,Fitzgibbon,Nrdsnane,Queensland,QLD,250.0,340.0,375.0,628.1666667,250.0,335.0,400.0,445.0
37,4018,Taigum,Nrdsnane,Queensland,QLD,250.0,340.0,375.0,628.1666667,250.0,335.0,400.0,445.0
38,4019,Clontarf,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
39,4019,Clontarf Beach,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
40,4019,Margate,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
41,4019,Margate Beach,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
42,4019,Woody Point,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
43,4020,Redcliffe,Ornsoane,Queensland,QLD,230.0,300.0,435.0,525.0,250.0,313.0,375.0,445.0
44,4020,Redcliffe North,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
45,4020,Scarborough,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
46,4021,Kippa-Ring,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
47,4022,Rothwell,Ornsoane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
48,4025,Bulwer,Rrtsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
49,4025,Cape Moreton,Rrtsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
50,4025,Cowan Cowan,Rrtsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
51,4025,Kooringal,Rrtsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
52,4025,Tangalooma,Rrtsrane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
53,4029,Royal Brisbane Hospital,Brisbane,Queensland,QLD,250.0,300.0,390.0,628.1666667,250.0,325.0,387.5,460.0
54,4030,Lutwyche,Arfsaane,Queensland,QLD,270.0,385.0,510.0,632.5,250.0,440.0,500.0,663.0
