,postcode,suburb,city,state,statecode,1_br_flat,2_br_flat,3_br_flat,4_br_flat,1_br_house,2_br_house,3_br_house,4_br_house
0,1001,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
1,1002,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
2,1003,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
3,1004,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
4,1005,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
5,1006,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
6,1007,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
7,1008,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
8,1009,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
9,1010,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
10,1011,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
11,1020,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
12,1021,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
13,1022,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
14,1023,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
15,1025,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
16,1026,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
17,1027,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
18,1028,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
19,1029,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
20,1030,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
21,1031,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
22,1032,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
23,1033,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
24,1034,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
25,1035,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
26,1036,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
27,1037,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
28,1038,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
29,1039,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
30,1040,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
31,1041,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
32,1042,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
33,1043,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
34,1044,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
35,1045,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
36,1046,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
37,1100,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
38,1101,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
39,1105,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
40,1106,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
41,1107,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
42,1108,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
43,1109,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
44,1110,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
45,1112,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
46,1113,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
47,1114,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
48,1115,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
49,1116,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
50,1117,Sydney,Sydney,New South Wales,NSW,562.5,780.0,1080.0,1100.0,555.0,750.0,1050.0,1250.0
