,Number,Name,Address,Suburb,Post Code,Latitude,Longitude,Category,Subtype,Subtype Name,Department
0,102.0,East Murray Area School,1182 East Murray Area School Road,Mindarie,5309.0,-34.815955,140.216073,SCHL,AREA,Area Schools,DEPT
1,104.0,Coromandel Valley Primary School,339 Main Road,Coromandel Valley,5051.0,-35.033562,138.626758,SCHL,PS,Primary Schools,DEPT
2,105.0,Glossop High School Senior Campus,50 Burgess Drive,Berri,5343.0,-34.27940174,140.6128796,SCHL,HIGH,High/Secondary Schools,DEPT
3,106.0,Cowandilla Primary School,21 Jenkins Street,Cowandilla,5033.0,-34.934543,138.558874,SCHL,PS,Primary Schools,DEPT
4,107.0,Crafers Primary School,55 Piccadilly Road,Crafers,5152.0,-34.993387,138.71348,SCHL,PS,Primary Schools,DEPT
5,111.0,Crystal Brook Primary School,7 Mitchell Street,Crystal Brook,5523.0,-33.352948,138.213543,SCHL,PS,Primary Schools,DEPT
6,114.0,Curramulka Primary School,Sixth Street,Curramulka,5580.0,-34.695502,137.713697,SCHL,PS,Primary Schools,DEPT
7,116.0,Murray Bridge Special School,1 North Terrace,Murray Bridge,5253.0,-35.115681,139.269869,SCHL,SPPRM,Primary Special Schools,DEPT
8,120.0,Gilles Street Primary School,91 Gilles Street,Adelaide,5000.0,-34.93449,138.604464,SCHL,PS,Primary Schools,DEPT
9,123.0,Echunga Primary School,802 Echunga Road,Echunga,5153.0,-35.097706,138.79085,SCHL,PS,Primary Schools,DEPT
10,124.0,Eden Hills Primary School,78 Wilpena Street,Eden Hills,5050.0,-35.020546,138.595317,SCHL,PS,Primary Schools,DEPT
11,127.0,Edwardstown Primary School,Maria Street,Melrose Park,5039.0,-34.978729,138.57801,SCHL,PS,Primary Schools,DEPT
12,128.0,Elliston Area School,Flinders Highway,Elliston,5670.0,-33.644153,134.892451,SCHL,AREA,Area Schools,DEPT
13,131.0,Norwood Primary School,37 Osmond Terrace,Norwood,5067.0,-34.91953508,138.6316413,SCHL,PS,Primary Schools,DEPT
14,135.0,Flinders Park Primary School,70 Holbrooks Road,Flinders Park,5025.0,-34.911103,138.54754,SCHL,PS,Primary Schools,DEPT
15,136.0,Lenswood Primary School,1554 Lobethal Road,Lenswood,5240.0,-34.921667,138.824005,SCHL,PS,Primary Schools,DEPT
16,138.0,Frances Primary School,23 Barrett Road,Frances,5262.0,-36.708483,140.956465,SCHL,PS,Primary Schools,DEPT
17,139.0,Freeling Primary School,Coulls Street,Freeling,5372.0,-34.457881,138.811701,SCHL,PS,Primary Schools,DEPT
18,141.0,Gawler Primary School,School Road,Gawler,5118.0,-34.597541,138.740692,SCHL,PS,Primary Schools,DEPT
19,142.0,Evanston Gardens Primary School,71 Angle Vale Road,Evanston Gardens,5116.0,-34.623986,138.720025,SCHL,PS,Primary Schools,DEPT
20,145.0,Geranium Primary School,1-3 Geranium Terrace,Geranium,5301.0,-35.378728,140.160067,SCHL,PS,Primary Schools,DEPT
21,146.0,Windsor Gardens B-12 Beatty Ave Camp,Beatty Avenue,Hillcrest,5086.0,-34.858428,138.651763,SCHL,PS,Primary Schools,DEPT
22,147.0,Gladstone Primary School,2 West Terrace,Gladstone,5473.0,-33.266137,138.350584,SCHL,PS,Primary Schools,DEPT
23,148.0,Glenburnie Primary School,36 Kromelite Road,Glenburnie,5291.0,-37.84041,140.863876,SCHL,PS,Primary Schools,DEPT
24,152.0,Glen Osmond Primary School,5 Fisher Street,Myrtle Bank,5064.0,-34.957051,138.637255,SCHL,PS,Primary Schools,DEPT
25,153.0,Glossop Primary Community School K-7,Mitchell Terrace,Glossop,5344.0,-34.271342,140.524768,SCHL,PS,Primary Schools,DEPT
26,156.0,Goodwood Primary School,140 Goodwood Road,Goodwood,5034.0,-34.951434,138.588694,SCHL,PS,Primary Schools,DEPT
27,157.0,Goolwa Primary School,Gardiner Street,Goolwa,5214.0,-35.497553,138.780252,SCHL,PS,Primary Schools,DEPT
28,160.0,Greenock Primary School,Bevan Street,Greenock,5360.0,-34.459939,138.921793,SCHL,PS,Primary Schools,DEPT
29,162.0,Gumeracha Primary School,Albert Street,Gumeracha,5233.0,-34.824981,138.880956,SCHL,PS,Primary Schools,DEPT
30,163.0,Hahndorf Primary School,12 Church Street,Hahndorf,5245.0,-35.027625,138.810629,SCHL,PS,Primary Schools,DEPT
31,167.0,Hamley Bridge Primary School,13 Florence Street,Hamley Bridge,5401.0,-34.354549,138.684929,SCHL,PS,Primary Schools,DEPT
32,169.0,Rose Park Primary School,54 Alexandra Avenue,Rose Park,5067.0,-34.93161,138.628893,SCHL,PS,Primary Schools,DEPT
33,171.0,Happy Valley Primary School,18 Education Road,Happy Valley,5159.0,-35.087062,138.583603,SCHL,PS,Primary Schools,DEPT
34,175.0,Hawker Area School,Arkaba Street,Hawker,5434.0,-31.89042,138.427892,SCHL,AREA,Area Schools,DEPT
35,176.0,Heathfield Primary School,201 Longwood Road,Heathfield,5153.0,-35.03002,138.727311,SCHL,PS,Primary Schools,DEPT
36,177.0,Henley Beach Primary School,38 Hazel Terrace,Henley Beach South,5022.0,-34.929734,138.499429,SCHL,PS,Primary Schools,DEPT
37,179.0,North Adelaide Primary School,62-80 Tynte Street,North Adelaide,5006.0,-34.905096,138.597558,SCHL,PS,Primary Schools,DEPT
38,194.0,Jervois Primary School,Rayson Street,Jervois,5259.0,-35.266177,139.437094,SCHL,PS,Primary Schools,DEPT
39,195.0,Youth Education Centre,26-56 Goldsborough Road,Cavan,5094.0,-34.828265,138.60253,SCHL,ALTSC,Alternative Prim/Sec Schools,DEPT
40,197.0,Kalangadoo Primary School,48B Kangaroo Flat Road,Kalangadoo,5278.0,-37.564684,140.695568,SCHL,PS,Primary Schools,DEPT
41,198.0,Kangarilla Primary School,33-35 McLaren Flat Road,Kangarilla,5157.0,-35.147815,138.659484,SCHL,PS,Primary Schools,DEPT
42,200.0,Kapunda Primary School,Mildred Street,Kapunda,5373.0,-34.337951,138.918029,SCHL,PS,Primary Schools,DEPT
43,202.0,Alberton Primary School,14 Broad Street,Queenstown,5014.0,-34.862675,138.51264,SCHL,PS,Primary Schools,DEPT
44,204.0,Kersbrook Primary School,Bowden Street,Kersbrook,5231.0,-34.782306,138.849719,SCHL,PS,Primary Schools,DEPT
45,205.0,Keyneton Primary School,Henschke Road,Keyneton,5353.0,-34.554333,139.1338,SCHL,PS,Primary Schools,DEPT
46,207.0,Kilkenny Primary School,Jane Street,West Croydon,5008.0,-34.890764,138.552731,SCHL,PS,Primary Schools,DEPT
47,209.0,Kingston-on-Murray Primary School,East Terrace,Kingston on Murray,5331.0,-34.222619,140.346866,SCHL,PS,Primary Schools,DEPT
48,210.0,Aldgate Primary School,3 Fairview Road,Aldgate,5154.0,-35.019502,138.748939,SCHL,PS,Primary Schools,DEPT
49,211.0,Kongorong Primary School,34 School Road,Kongorong,5291.0,-37.902241,140.560875,SCHL,PS,Primary Schools,DEPT
50,212.0,Koolunga Primary School,"Valley Road, Koolunga, Port Pirie Regional Council, South Australia, 5464, Australia",Koolunga,5464.0,-33.580835,138.335026,SCHL,PS,Primary Schools,DEPT
51,214.0,Mid North Education Centre,David Street,Port Pirie,5540.0,-33.17503,138.005415,SCHL,SPPS,Primary/Secondary Special Schools,DEPT
52,218.0,Eastern Fleur Langhorne Creek Campus,Wellington Road,Langhorne Creek,5255.0,-35.296945,139.035993,SCHL,PS,Primary Schools,DEPT
53,219.0,Largs Bay School,215 Fletcher Road,Largs Bay,5016.0,-34.823557,138.49427,SCHL,PS,Primary Schools,DEPT
54,220.0,Laura Primary School,East Terrace,Laura,5480.0,-33.187073,138.303714,SCHL,PS,Primary Schools,DEPT
55,221.0,Le Fevre Peninsula Primary School,Shorney Street,Birkenhead,5015.0,-34.840072,138.495412,SCHL,PS,Primary Schools,DEPT
56,222.0,Aldinga Beach B-7 School,Quinliven Road,Aldinga,5173.0,-35.268942,138.461849,SCHL,PS,Primary Schools,DEPT
57,223.0,Light Pass Primary School,395 Light Pass Road,Light Pass,5355.0,-34.46919,139.025019,SCHL,PS,Primary Schools,DEPT
58,225.0,Littlehampton Primary School,16-30 Baker Street,Littlehampton,5250.0,-35.049605,138.868025,SCHL,PS,Primary Schools,DEPT
59,227.0,Lobethal Primary School,1 School Road,Lobethal,5241.0,-34.90169,138.871723,SCHL,PS,Primary Schools,DEPT
60,230.0,Lock Area School,West Terrace,Lock,5633.0,-33.567909,135.753344,SCHL,AREA,Area Schools,DEPT
61,231.0,Lockleys Primary School,29 Elston Street,Brooklyn Park,5032.0,-34.930203,138.535095,SCHL,PS,Primary Schools,DEPT
62,237.0,Lyndoch Primary School,Margaret Street,Lyndoch,5351.0,-34.60554,138.885678,SCHL,PS,Primary Schools,DEPT
63,239.0,Macclesfield Primary School,Luck Street,Macclesfield,5153.0,-35.171357,138.838503,SCHL,PS,Primary Schools,DEPT
64,241.0,Mallala Primary School,28 Owen Road,Mallala,5502.0,-34.434716,138.510526,SCHL,PS,Primary Schools,DEPT
65,242.0,Angaston Primary School,5 Moculta Road,Angaston,5353.0,-34.499092,139.050833,SCHL,PS,Primary Schools,DEPT
66,245.0,Manoora Primary School,3 Weymouth Street,Manoora,5414.0,-34.006284,138.814121,SCHL,PS,Primary Schools,DEPT
67,248.0,Marree Aboriginal School,First Street,Marree,5733.0,-29.649196,138.061033,SCHL,ABSCH,Aboriginal Schools,DEPT
68,249.0,Marryatville Primary School,Dankel Avenue,Kensington,5068.0,-34.924542,138.649185,SCHL,PS,Primary Schools,DEPT
69,250.0,McLaren Flat Primary School,49 Main Road,McLaren Flat,5171.0,-35.206109,138.587206,SCHL,PS,Primary Schools,DEPT
70,251.0,McLaren Vale Primary School,Caffrey Street,McLaren Vale,5171.0,-35.211634,138.531402,SCHL,PS,Primary Schools,DEPT
71,252.0,Meadows Primary School,Mawson Road,Meadows,5201.0,-35.180498,138.761924,SCHL,PS,Primary Schools,DEPT
72,253.0,Melrose Primary School,29 Stuart Street,Melrose,5483.0,-32.823832,138.187995,SCHL,PS,Primary Schools,DEPT
73,255.0,Angle Vale Primary School,Heaslip Road,Angle Vale,5117.0,-34.643388,138.647377,SCHL,PS,Primary Schools,DEPT
74,262.0,Eastern Fleurieu Milang Campus,Cnr Coxe & Rivers Streets,Milang,5256.0,-35.405862,138.973123,SCHL,PS,Primary Schools,DEPT
75,265.0,Mil Lel Primary School,465 Kennedy Avenue,Mil-Lel,5291.0,-37.781125,140.825631,SCHL,PS,Primary Schools,DEPT
76,270.0,Mitcham Primary School,Hillview Road,Kingswood,5062.0,-34.972879,138.616131,SCHL,PS,Primary Schools,DEPT
77,272.0,Modbury School Preschool to Year 7,2-18 Golden Grove Road,Modbury North,5092.0,-34.825905,138.692227,SCHL,PS,Primary Schools,DEPT
78,274.0,Monash Primary School,22 Jackson Street,Monash,5342.0,-34.236306,140.559419,SCHL,PS,Primary Schools,DEPT
79,279.0,Moorak Primary School,171 Yells Road,Moorak,5291.0,-37.86465,140.736981,SCHL,PS,Primary Schools,DEPT
80,280.0,Moorook Primary School,Wachtel Rd,Moorook,5332.0,-34.276231,140.351142,SCHL,PS,Primary Schools,DEPT
81,282.0,Morgan Primary School,Fourth Street,Morgan,5320.0,-34.029492,139.670335,SCHL,PS,Primary Schools,DEPT
82,285.0,Mount Barker Primary School,2A Dumas Street,Mount Barker,5251.0,-35.067641,138.853522,SCHL,PS,Primary Schools,DEPT
83,288.0,Mount Burr Primary School,Thomas Drive,Mount Burr,5279.0,-37.54095,140.459314,SCHL,PS,Primary Schools,DEPT
84,289.0,Mount Compass Area School,School Road,Mount Compass,5210.0,-35.350201,138.619759,SCHL,AREA,Area Schools,DEPT
85,290.0,Reidy Park Primary School,O'Halloran Terrace,Mount Gambier,5290.0,-37.834544,140.771765,SCHL,PS,Primary Schools,DEPT
86,293.0,Mount Pleasant Primary School,22 Hospital Road,Mount Pleasant,5235.0,-34.774395,139.053867,SCHL,PS,Primary Schools,DEPT
87,297.0,Mundulla Primary School,Kennedy Street,Mundulla,5270.0,-36.357628,140.693069,SCHL,PS,Primary Schools,DEPT
88,299.0,Murray Bridge North School,1 North Terrace,Murray Bridge,5253.0,-35.115804,139.269327,SCHL,PS,Primary Schools,DEPT
89,301.0,Mylor Primary School,220 Strathalbyn Road,Mylor,5153.0,-35.040969,138.760093,SCHL,PS,Primary Schools,DEPT
90,302.0,Mypolonga Primary School,Williams Street,Mypolonga,5254.0,-35.040591,139.357523,SCHL,PS,Primary Schools,DEPT
91,303.0,Myponga Primary School,Hutchinson Street,Myponga,5202.0,-35.392694,138.464452,SCHL,PS,Primary Schools,DEPT
92,305.0,Nailsworth Primary School,2 Balfour Street,Nailsworth,5083.0,-34.88242,138.603752,SCHL,PS,Primary Schools,DEPT
93,306.0,Nairne Primary School,5 Saleyard Road,Nairne,5252.0,-35.03837,138.903539,SCHL,PS,Primary Schools,DEPT
94,308.0,Napperby Primary School,Oaks Road,Napperby,5540.0,-33.153603,138.11349,SCHL,PS,Primary Schools,DEPT
95,309.0,Naracoorte Primary School,Park Terrace,Naracoorte,5271.0,-36.951082,140.738119,SCHL,PS,Primary Schools,DEPT
96,313.0,Old Noarlunga Primary School,Malpas Street,Old Noarlunga,5168.0,-35.182997,138.500633,SCHL,PS,Primary Schools,DEPT
97,314.0,Northfield Primary School,North Avenue,Northfield,5085.0,-34.849012,138.61972,SCHL,PS,Primary Schools,DEPT
98,316.0,Norton Summit Primary School,15 Crescent Drive,Norton Summit,5136.0,-34.92734233,138.7283166,SCHL,PS,Primary Schools,DEPT
99,318.0,Nuriootpa Primary School,15 Buna Terrace,Nuriootpa,5355.0,-34.472908,139.001322,SCHL,PS,Primary Schools,DEPT
100,322.0,One Tree Hill Primary School,"One Tree Hill Primary School, McGilp Road",One Tree Hill,5114.0,-34.713101,138.766547,SCHL,PS,Primary Schools,DEPT
101,323.0,Coorara Primary School,Taylors Avenue,Morphett Vale,5162.0,-35.131326,138.542009,SCHL,PS,Primary Schools,DEPT
102,324.0,Oodnadatta Aboriginal School,Kutaya Tce,Oodnadatta,5734.0,-27.548914,135.445834,SCHL,ABSCH,Aboriginal Schools,DEPT
103,325.0,Owen Primary School,Fourth Street,Owen,5460.0,-34.271796,138.542669,SCHL,PS,Primary Schools,DEPT
104,326.0,Palmer Primary School,Olive Grove Avenue,Palmer,5237.0,-34.853574,139.161721,SCHL,PS,Primary Schools,DEPT
105,327.0,Paracombe Primary School,4 Harvey Road,Paracombe,5132.0,-34.851674,138.781984,SCHL,PS,Primary Schools,DEPT
106,328.0,Parkside Primary School,12 Robsart Street,Parkside,5063.0,-34.944657,138.620087,SCHL,PS,Primary Schools,DEPT
107,329.0,Glossop High School Middle Campus,535 Old Sturt Highway,Glossop,5344.0,-34.274808,140.534942,SCHL,HIGH,High/Secondary Schools,DEPT
108,332.0,Disability Unit Pasadena High School,241-277 Daws Road,Pasadena,5042.0,-34.993333,138.590102,NONS,SPDIS,Disability Units,DEPT
109,336.0,Penneshaw Campus,Howard Drive,Penneshaw,5222.0,-35.720872,137.931836,SCHL,AREA,Area Schools,DEPT
110,337.0,Pennington School R-7,Butler Avenue,Pennington,5013.0,-34.857487,138.532493,SCHL,PS,Primary Schools,DEPT
111,338.0,Penong Primary School,Eyre Highway,Penong,5690.0,-31.92861,133.005426,SCHL,PS,Primary Schools,DEPT
112,339.0,Peterborough Primary School,75 Bridges Street,Peterborough,5422.0,-32.971085,138.832375,SCHL,PS,Primary Schools,DEPT
113,340.0,Ascot Park Primary School,1-37 Pildappa Avenue,Park Holme,5043.0,-34.990774,138.554376,SCHL,PS,Primary Schools,DEPT
114,342.0,Eastern Fleurieu Ashbourne Campus,14 Ashbourne Road,Ashbourne,5157.0,-35.288765,138.765705,SCHL,PS,Primary Schools,DEPT
115,346.0,Plympton Primary School,19 Owen Street,Plympton,5038.0,-34.9612,138.556819,SCHL,PS,Primary Schools,DEPT
116,351.0,Poonindie Community Learning Centre,1-25 Hirschausen Road,Poonindie,5607.0,-34.580807,135.881095,SCHL,PS,Primary Schools,DEPT
117,352.0,Pooraka Primary School,11 South Terrace,Pooraka,5095.0,-34.833519,138.613108,SCHL,PS,Primary Schools,DEPT
118,355.0,Port Augusta West Primary School,46 Mildred Street,Port Augusta West,5700.0,-32.483205,137.754202,SCHL,PS,Primary Schools,DEPT
119,356.0,Port Elliot Primary School,4 Cameron Street,Port Elliot,5212.0,-35.5234781,138.6774938,SCHL,PS,Primary Schools,DEPT
120,359.0,Port Lincoln Primary School,Lincoln Place,Port Lincoln,5606.0,-34.723909,135.857158,SCHL,PS,Primary Schools,DEPT
121,361.0,Port Neill Primary School,Wallis Street,Port Neill,5604.0,-34.116548,136.342001,SCHL,PS,Primary Schools,DEPT
122,362.0,Port Noarlunga Primary School,10 James Avenue,Port Noarlunga,5167.0,-35.143859,138.473037,SCHL,PS,Primary Schools,DEPT
