,postcode,suburb,city,state,statecode,1_br_flat,2_br_flat,3_br_flat,4_br_flat,1_br_house,2_br_house,3_br_house,4_br_house
0,3000,Melbourne,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
1,3001,Melbourne,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
2,3004,Melbourne,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
3,3206,Albert Park,Melbourne,Victoria,VIC,350.0,480.0,800.0,0.0,0.0,650.0,900.0,1150.0
4,3206,Middle Park,Melbourne,Victoria,VIC,350.0,480.0,800.0,0.0,0.0,650.0,900.0,1150.0
5,3002,East Melbourne,Melbourne,Victoria,VIC,400.0,550.0,825.0,0.0,0.0,600.0,975.0,500.0
6,3003,West Melbourne,Melbourne,Victoria,VIC,368.0,485.0,670.0,0.0,0.0,540.0,700.0,810.0
7,3143,Armadale,Armadale,Victoria,VIC,350.0,450.0,680.0,0.0,0.0,610.0,860.0,1199.0
8,3054,Carlton North,Melbourne,Victoria,VIC,348.0,473.0,650.0,0.0,0.0,550.0,720.0,1000.0
9,3005,World Trade Centre,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
10,3053,Carlton,Melbourne,Victoria,VIC,360.0,510.0,670.0,0.0,0.0,520.0,745.0,900.0
11,3006,Southbank,Melbourne,Victoria,VIC,435.0,565.0,780.0,0.0,0.0,363.0,425.0,500.0
12,3052,Parkville,Melbourne,Victoria,VIC,360.0,510.0,670.0,0.0,0.0,520.0,745.0,900.0
13,3008,Docklands,Melbourne,Victoria,VIC,445.0,600.0,923.0,0.0,0.0,363.0,425.0,500.0
14,3010,University Of Melbourne,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
15,3011,Footscray,Melbourne,Victoria,VIC,270.0,369.0,550.0,0.0,0.0,420.0,470.0,470.0
16,3066,Collingwood,Melbourne,Victoria,VIC,390.0,510.0,750.0,0.0,0.0,560.0,720.0,500.0
17,3011,Seddon,Melbourne,Victoria,VIC,274.0,350.0,520.0,0.0,0.0,465.0,535.0,665.0
18,3067,Abbotsford,Melbourne,Victoria,VIC,390.0,510.0,750.0,0.0,0.0,560.0,720.0,500.0
19,3011,Seddon West,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
20,3012,Brooklyn,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
21,3012,Kingsville,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
22,3012,Kingsville West,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
23,3184,Elwood,Melbourne,Victoria,VIC,330.0,440.0,595.0,0.0,0.0,630.0,860.0,1100.0
24,3012,Maidstone,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
25,3065,Fitzroy,Melbourne,Victoria,VIC,393.0,573.0,750.0,0.0,0.0,585.0,750.0,1000.0
26,3012,Tottenham,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
27,3068,Fitzroy North,Melbourne,Victoria,VIC,350.0,480.0,710.0,0.0,0.0,570.0,725.0,950.0
28,3012,West Footscray,Melbourne,Victoria,VIC,250.0,345.0,440.0,0.0,0.0,380.0,410.0,480.0
29,3068,Clifton Hill,Melbourne,Victoria,VIC,350.0,480.0,710.0,0.0,0.0,570.0,725.0,950.0
30,3013,Yarraville,Melbourne,Victoria,VIC,274.0,350.0,520.0,0.0,0.0,465.0,535.0,665.0
31,3031,Flemington,Melbourne,Victoria,VIC,350.0,400.0,545.0,0.0,0.0,480.0,580.0,750.0
32,3013,Yarraville West,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
33,3031,Kensington,Melbourne,Victoria,VIC,350.0,400.0,545.0,0.0,0.0,480.0,580.0,750.0
34,3015,Newport,Melbourne,Victoria,VIC,278.0,350.0,483.0,0.0,0.0,450.0,520.0,635.0
35,3051,North Melbourne,Melbourne,Victoria,VIC,368.0,485.0,670.0,0.0,0.0,540.0,700.0,810.0
36,3015,South Kingsville,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
37,3015,Spotswood,Melbourne,Victoria,VIC,278.0,350.0,483.0,0.0,0.0,450.0,520.0,635.0
38,3207,Port Melbourne,Melbourne,Victoria,VIC,430.0,570.0,900.0,0.0,0.0,580.0,800.0,1050.0
39,3016,Williamstown,Melbourne,Victoria,VIC,320.0,360.0,573.0,0.0,0.0,480.0,598.0,750.0
40,3181,Prahran,Melbourne,Victoria,VIC,340.0,490.0,695.0,0.0,0.0,598.0,785.0,995.0
41,3016,Williamstown North,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
42,3181,Windsor,Melbourne,Victoria,VIC,340.0,490.0,695.0,0.0,0.0,598.0,785.0,995.0
43,3018,Altona,Melbourne,Victoria,VIC,260.0,330.0,400.0,0.0,0.0,340.0,375.0,410.0
44,3121,Richmond,Melbourne,Victoria,VIC,383.0,530.0,750.0,0.0,0.0,600.0,750.0,950.0
45,3018,Seaholme,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
46,3121,Burnley,Melbourne,Victoria,VIC,383.0,530.0,750.0,0.0,0.0,600.0,750.0,950.0
47,3019,Braybrook,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
48,3205,South Melbourne,Melbourne,Victoria,VIC,400.0,540.0,700.0,0.0,0.0,550.0,850.0,500.0
49,3019,Braybrook North,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
50,3141,South Yarra,Melbourne,Victoria,VIC,380.0,540.0,793.0,0.0,0.0,650.0,900.0,1175.0
51,3019,Robinson,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
52,3020,Albion,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
53,3182,St Kilda,Melbourne,Victoria,VIC,355.0,470.0,650.0,0.0,0.0,595.0,738.0,960.0
54,3020,Glengala,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
55,3142,Toorak,Melbourne,Victoria,VIC,333.0,490.0,740.0,0.0,0.0,650.0,995.0,1800.0
56,3020,Sunshine North,Melbourne,Victoria,VIC,230.0,300.0,350.0,0.0,0.0,320.0,340.0,400.0
57,3020,Sunshine West,Melbourne,Victoria,VIC,230.0,300.0,350.0,0.0,0.0,320.0,340.0,400.0
58,3103,Balwyn,Melbourne,Victoria,VIC,360.0,425.0,585.0,0.0,0.0,408.0,550.0,700.0
59,3021,Albanvale,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
60,3130,Blackburn,Melbourne,Victoria,VIC,340.0,400.0,465.0,0.0,0.0,400.0,430.0,550.0
61,3021,Kealba,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
62,3128,Box Hill,Melbourne,Victoria,VIC,260.0,399.0,500.0,0.0,0.0,395.0,450.0,598.0
63,3021,Kings Park,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
64,3105,Bulleen,Melbourne,Victoria,VIC,360.0,430.0,520.0,0.0,0.0,390.0,460.0,568.0
65,3021,St Albans,Melbourne,Victoria,VIC,230.0,300.0,340.0,0.0,0.0,310.0,340.0,380.0
66,3106,Templestowe,Melbourne,Victoria,VIC,360.0,430.0,520.0,0.0,0.0,390.0,460.0,568.0
67,3022,Ardeer,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
68,3108,Doncaster,Melbourne,Victoria,VIC,360.0,430.0,520.0,0.0,0.0,390.0,460.0,568.0
69,3022,Deer Park East,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
70,3125,Burwood,Melbourne,Victoria,VIC,230.0,430.0,530.0,0.0,0.0,395.0,465.0,630.0
71,3023,Burnside,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
72,3147,Ashburton,Melbourne,Victoria,VIC,230.0,430.0,530.0,0.0,0.0,395.0,465.0,630.0
73,3023,Burnside Heights,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
74,3124,Camberwell,Melbourne,Victoria,VIC,345.0,430.0,600.0,0.0,0.0,500.0,650.0,890.0
75,3023,Cairnlea,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
76,3146,Glen Iris,Melbourne,Victoria,VIC,345.0,430.0,600.0,0.0,0.0,500.0,650.0,890.0
77,3023,Caroline Springs,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
78,3126,Canterbury,Melbourne,Victoria,VIC,363.0,420.0,540.0,0.0,0.0,445.0,635.0,850.0
79,3023,Deer Park,Melbourne,Victoria,VIC,230.0,300.0,340.0,0.0,0.0,310.0,340.0,380.0
80,3127,Surrey Hills,Melbourne,Victoria,VIC,363.0,420.0,540.0,0.0,0.0,445.0,635.0,850.0
81,3023,Deer Park North,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
82,3127,Mont Albert,Melbourne,Victoria,VIC,363.0,420.0,540.0,0.0,0.0,445.0,635.0,850.0
83,3023,Ravenhall,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
84,3148,Chadstone,Melbourne,Victoria,VIC,350.0,400.0,500.0,0.0,0.0,390.0,445.0,590.0
85,3024,Mambourin,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
86,3166,Oakleigh,Melbourne,Victoria,VIC,350.0,400.0,500.0,0.0,0.0,390.0,445.0,590.0
87,3024,Mount Cottrell,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
88,3168,Clayton,Melbourne,Victoria,VIC,260.0,375.0,450.0,0.0,0.0,380.0,430.0,543.0
89,3024,Wyndham Vale,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
90,3109,Doncaster East,Melbourne,Victoria,VIC,350.0,400.0,470.0,0.0,0.0,395.0,450.0,555.0
91,3025,Altona East,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
92,3111,Donvale,Melbourne,Victoria,VIC,350.0,400.0,470.0,0.0,0.0,395.0,450.0,555.0
93,3025,Altona Gate,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
94,3025,Altona North,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
95,3150,Glen Waverley,Melbourne,Victoria,VIC,360.0,400.0,480.0,0.0,0.0,390.0,445.0,523.0
96,3026,Laverton North,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
97,3170,Mulgrave,Melbourne,Victoria,VIC,360.0,400.0,480.0,0.0,0.0,390.0,445.0,523.0
98,3027,Laverton Raaf,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
99,3122,Hawthorn,Melbourne,Victoria,VIC,310.0,430.0,630.0,0.0,0.0,570.0,700.0,905.0
100,3028,Altona Meadows,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
101,3101,Kew,Melbourne,Victoria,VIC,375.0,420.0,553.0,0.0,0.0,533.0,638.0,1000.0
102,3028,Laverton,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
103,3149,Mount Waverley,Melbourne,Victoria,VIC,335.0,395.0,490.0,0.0,0.0,400.0,450.0,550.0
104,3028,Seabrook,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
105,3131,Nunawading,Melbourne,Victoria,VIC,323.0,370.0,450.0,0.0,0.0,380.0,430.0,515.0
106,3029,Hoppers Crossing,Melbourne,Victoria,VIC,250.0,290.0,320.0,0.0,0.0,300.0,340.0,380.0
107,3132,Mitcham,Melbourne,Victoria,VIC,323.0,370.0,450.0,0.0,0.0,380.0,430.0,515.0
108,3029,Tarneit,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
109,3133,Vermont,Melbourne,Victoria,VIC,308.0,375.0,448.0,0.0,0.0,360.0,425.0,500.0
110,3029,Truganina,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
111,3131,Forest Hill,Melbourne,Victoria,VIC,308.0,375.0,448.0,0.0,0.0,360.0,425.0,500.0
112,3030,Cocoroc,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
113,3151,Burwood East,Melbourne,Victoria,VIC,308.0,375.0,448.0,0.0,0.0,360.0,425.0,500.0
114,3030,Derrimut,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
115,3030,Point Cook,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
116,3195,Aspendale,Melbourne,Victoria,VIC,300.0,360.0,445.0,0.0,0.0,363.0,450.0,550.0
117,3030,Quandong,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
118,3196,Chelsea,Melbourne,Victoria,VIC,300.0,360.0,445.0,0.0,0.0,363.0,450.0,550.0
119,3030,Werribee,Melbourne,Victoria,VIC,250.0,290.0,320.0,0.0,0.0,300.0,340.0,380.0
120,3197,Carrum,Melbourne,Victoria,VIC,300.0,360.0,445.0,0.0,0.0,363.0,450.0,550.0
121,3030,Werribee South,Melbourne,Victoria,VIC,290.0,350.0,440.0,0.0,0.0,363.0,425.0,500.0
122,3204,Bentleigh,Melbourne,Victoria,VIC,300.0,410.0,550.0,0.0,0.0,440.0,530.0,715.0
123,3186,Brighton,Melbourne,Victoria,VIC,390.0,520.0,755.0,0.0,0.0,595.0,875.0,1285.0
124,3187,Brighton East,Melbourne,Victoria,VIC,290.0,450.0,643.0,0.0,0.0,529.0,650.0,950.0
