School_No,School_Name,School_Type,Suburb,State,Postcode,Phone_No,LGA_ID,LGA_Name,Latitude,Longtitude,Education_Sector,Entity_Type,Address
1,Alberton Primary School,Primary,Alberton,VIC,3971,03 5183 2412,681,Wellington (S),146.666601,-38.617713,Government,1,21 Thomson Street
3,Allansford and District Primary School,Primary,Allansford,VIC,3277,03 5565 1382,673,Warrnambool (C),142.590393,-38.386281,Government,1,Frank Street
4,Avoca Primary School,Primary,Avoca,VIC,3467,03 5465 3176,599,Pyrenees (S),143.475649,-37.084502,Government,1,118 Barnett Street P O Box 12
8,Avenel Primary School,Primary,Avenel,VIC,3664,03 5796 2264,643,Strathbogie (S),145.234722,-36.901368,Government,1,40 Anderson Street
12,Warrandyte Primary School,Primary,Warrandyte,VIC,3113,03 9844 3537,421,Manningham (C),145.21398,-37.742675,Government,1,5-11 Forbes Street
26,Belmont Primary School,Primary,Belmont,VIC,3216,03 5243 2972,275,Greater Geelong (C),144.342099,-38.170672,Government,1,51 Mt Pleasant Road P O Box 471
28,Bacchus Marsh Primary School,Primary,Bacchus Marsh,VIC,3340,03 5367 2745,515,Moorabool (S),144.4431207,-37.67302961,Government,1,56-62 Lerderderg Street P O Box 334
33,Ballarat Primary School (Dana Street),Primary,Ballarat,VIC,3350,03 5332 1301,57,Ballarat (C),143.853936,-37.56401278,Government,1,401 Dana Street
37,Wodonga Primary School,Primary,Wodonga,VIC,3690,02 6048 0300,717,Wodonga (C),146.88982,-36.129214,Government,1,Brockley Street PO Box 329
40,Berwick Primary School,Primary,Berwick,VIC,3806,03 9707 1026,161,Casey (C),145.353743,-38.044178,Government,1,37 Fairholme Boulevard
60,Beaufort Primary School,Primary,Beaufort,VIC,3373,03 5349 2490,599,Pyrenees (S),143.3817175,-37.43852098,Government,1,2/37 Park Road P O Box 18
84,Cheltenham Primary School,Primary,Cheltenham,VIC,3192,03 8585 3200,91,Bayside (C),145.054635,-37.968608,Government,1,231 Charman Road
105,Cudgee Primary School,Primary,Cudgee,VIC,3265,03 5567 6346,549,Moyne (S),142.650844,-38.347938,Government,1,3 Hallowells Road
