School Code,School Name,DET Geographic Region,Local Government Area,Centre Type,School Category,State Electorate,Collection Year
591,Abercorn State School,Central Queensland,North Burnett (R),State School,Primary,Callide,2013
1275,Abergowrie State School,North Queensland,Hinchinbrook (S),State School,Primary,Hinchinbrook,2013
25,Acacia Ridge State School,Metropolitan,Brisbane (C),State School,Primary,Sunnybank,2013
1983,Agnes Water State School,North Coast,Gladstone (R),State School,Primary,Burnett,2013
598,Airville State School,North Queensland,Burdekin (S),State School,Primary,Burdekin,2013
801,Aitkenvale State School,North Queensland,Townsville (C),State School,Primary,Mundingburra,2013
2155,Albany Creek State High School,Metropolitan,Moreton Bay (R),State High School,Secondary,Everton,2013
190,Albany Creek State School,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2013
1892,Albany Hills State School,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2013
38,Albert State School,North Coast,Fraser Coast (R),State School,Primary,Maryborough,2013
2017,Aldridge State High School,North Coast,Fraser Coast (R),State High School,Secondary,Maryborough,2013
1963,Alexandra Bay State School,Far North Queensland,Cairns (R),State School,Primary,Cook,2013
2175,Alexandra Hills State High School,South East,Redland (C),State High School,Secondary,Capalaba,2013
405,Alexandra Hills State School,South East,Redland (C),State School,Primary,Capalaba,2013
1866,Algester State School,Metropolitan,Brisbane (C),State School,Primary,Algester,2013
155,Allenstown State School,Central Queensland,Rockhampton (R),State School,Primary,Rockhampton,2013
773,Alligator Creek State School,Central Queensland,Mackay (R),State School,Primary,Mirani,2013
3,Allora P-10 State School,Darling Downs South West,Southern Downs (R),State School,Combined,Southern Downs,2013
430,Alloway State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
870,Aloomba State School,Far North Queensland,Cairns (R),State School,Primary,Mulgrave,2013
517,Alpha State School,Central Queensland,Barcaldine (R),State School,Combined,Gregory,2013
1719,Amamoor State School,North Coast,Gympie (R),State School,Primary,Gympie,2013
115,Amberley District State School,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2013
1415,Ambrose State School,Central Queensland,Gladstone (R),State School,Primary,Gladstone,2013
1629,Amiens State School,Darling Downs South West,Southern Downs (R),State School,Primary,Southern Downs,2013
474,Anakie State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
1572,Andergrove State School,Central Queensland,Mackay (R),State School,Primary,Mackay,2013
440,Annandale State School,North Queensland,Townsville (C),State School,Primary,Mundingburra,2013
